alpha3,alpha2,name,type
aaa,,Ghotuo,Living
aab,,Alumu-Tesu,Living
aac,,Ari,Living
aad,,Amal,Living
aae,,Arbëreshë Albanian,Living
aaf,,Aranadan,Living
aag,,Ambrak,Living
aah,,Abu' Arapesh,Living
aai,,Arifama-Miniafia,Living
aak,,Ankave,Living
aal,,Afade,Living
aam,,Aramanik,Living
aan,,Anambé,Living
aao,,Algerian Saharan Arabic,Living
aap,,Pará Arára,Living
aaq,,Eastern Abnaki,Extinct
aar,aa,Afar,Living
aas,,Aasáx,Living
aat,,Arvanitika Albanian,Living
aau,,Abau,Living
aaw,,Solong,Living
aax,,Mandobo Atas,Living
aaz,,Amarasi,Living
aba,,Abé,Living
abb,,Bankon,Living
abc,,Ambala Ayta,Living
abd,,Manide,Living
abe,,Western Abnaki,Extinct
abf,,Abai Sungai,Living
abg,,Abaga,Living
abh,,Tajiki Arabic,Living
abi,,Abidji,Living
abj,,Aka-Bea,Extinct
abk,ab,Abkhazian,Living
abl,,Lampung Nyo,Living
abm,,Abanyom,Living
abn,,Abua,Living
abo,,Abon,Living
abp,,Abellen Ayta,Living
abq,,Abaza,Living
abr,,Abron,Living
abs,,Ambonese Malay,Living
abt,,Ambulas,Living
abu,,Abure,Living
abv,,Baharna Arabic,Living
abw,,Pal,Living
abx,,Inabaknon,Living
aby,,Aneme Wake,Living
abz,,Abui,Living
aca,,Achagua,Living
acb,,Áncá,Living
acd,,Gikyode,Living
ace,,Achinese,Living
acf,,Saint Lucian Creole French,Living
ach,,Acoli,Living
aci,,Aka-Cari,Extinct
ack,,Aka-Kora,Extinct
acl,,Akar-Bale,Extinct
acm,,Mesopotamian Arabic,Living
acn,,Achang,Living
acp,,Eastern Acipa,Living
acq,,Ta'izzi-Adeni Arabic,Living
acr,,Achi,Living
acs,,Acroá,Extinct
act,,Achterhoeks,Living
acu,,Achuar-Shiwiar,Living
acv,,Achumawi,Living
acw,,Hijazi Arabic,Living
acx,,Omani Arabic,Living
acy,,Cypriot Arabic,Living
acz,,Acheron,Living
ada,,Adangme,Living
adb,,Adabe,Living
add,,Dzodinka,Living
ade,,Adele,Living
adf,,Dhofari Arabic,Living
adg,,Andegerebinha,Living
adh,,Adhola,Living
adi,,Adi,Living
adj,,Adioukrou,Living
adl,,Galo,Living
adn,,Adang,Living
ado,,Abu,Living
adp,,Adap,Living
adq,,Adangbe,Living
adr,,Adonara,Living
ads,,Adamorobe Sign Language,Living
adt,,Adnyamathanha,Living
adu,,Aduge,Living
adw,,Amundava,Living
adx,,Amdo Tibetan,Living
ady,,Adyghe,Living
adz,,Adzera,Living
aea,,Areba,Extinct
aeb,,Tunisian Arabic,Living
aec,,Saidi Arabic,Living
aed,,Argentine Sign Language,Living
aee,,Northeast Pashayi,Living
aek,,Haeke,Living
ael,,Ambele,Living
aem,,Arem,Living
aen,,Armenian Sign Language,Living
aeq,,Aer,Living
aer,,Eastern Arrernte,Living
aes,,Alsea,Extinct
aeu,,Akeu,Living
aew,,Ambakich,Living
aey,,Amele,Living
aez,,Aeka,Living
afb,,Gulf Arabic,Living
afd,,Andai,Living
afe,,Putukwam,Living
afg,,Afghan Sign Language,Living
afh,,Afrihili,Constructed
afi,,Akrukay,Living
afk,,Nanubae,Living
afn,,Defaka,Living
afo,,Eloyi,Living
afp,,Tapei,Living
afr,af,Afrikaans,Living
afs,,Afro-Seminole Creole,Living
aft,,Afitti,Living
afu,,Awutu,Living
afz,,Obokuitai,Living
aga,,Aguano,Extinct
agb,,Legbo,Living
agc,,Agatu,Living
agd,,Agarabi,Living
age,,Angal,Living
agf,,Arguni,Living
agg,,Angor,Living
agh,,Ngelima,Living
agi,,Agariya,Living
agj,,Argobba,Living
agk,,Isarog Agta,Living
agl,,Fembe,Living
agm,,Angaataha,Living
agn,,Agutaynen,Living
ago,,Tainae,Living
agq,,Aghem,Living
agr,,Aguaruna,Living
ags,,Esimbi,Living
agt,,Central Cagayan Agta,Living
agu,,Aguacateco,Living
